name,description
Cute Charm,30% chance of infatuating Pokemon of the opposite gender if they make contact.
Effect Spore,30% chance of poison/paralysis/sleep on others making contact with this Pokemon.
Flame Body,30% chance a Pokemon making contact with this Pokemon will be burned.
Flash Fire,This Pokemon's Fire attacks do 1.5x damage if hit by one Fire move; Fire immunity.
Intimidate,"On switch-in, this Pokemon lowers the Attack of adjacent opponents by 1 stage."
Lightning Rod,This Pokemon draws Electric moves to itself to raise Sp. Atk by 1; Electric immunity.
Minus,"If an active ally has this Ability or the Plus Ability, this Pokemon's Sp. Atk is 1.5x."
Plus,"If an active ally has this Ability or the Minus Ability, this Pokemon's Sp. Atk is 1.5x."
Poison Point,30% chance a Pokemon making contact with this Pokemon will be poisoned.
Pressure,"If this Pokemon is the target of a foe's move, that move loses one additional PP."
Rain Dish,"If Rain Dance is active, this Pokemon heals 1/16 of its max HP each turn."
Rough Skin,Pokemon making contact with this Pokemon lose 1/8 of their max HP.
Shadow Tag,Prevents adjacent foes from choosing to switch unless they also have this Ability.
Static,30% chance a Pokemon making contact with this Pokemon will be paralyzed.
Trace,"On switch-in, or when it can, this Pokemon copies a random adjacent foe's Ability."
Truant,This Pokemon skips every other turn instead of using a move.
Volt Absorb,This Pokemon heals 1/4 of its max HP when hit by Electric moves; Electric immunity.
Air Lock,"While this Pokemon is active, the effects of weather conditions are disabled."
Blaze,"At 1/3 or less of its max HP, this Pokemon's attacking stat is 1.5x with Fire attacks."
Cloud Nine,"While this Pokemon is active, the effects of weather conditions are disabled."
Compound Eyes,This Pokemon's moves have their accuracy multiplied by 1.3.
Hustle,This Pokemon's Attack is 1.5x and accuracy of its physical attacks is 0.8x.
Insomnia,This Pokemon cannot fall asleep. Gaining this Ability while asleep cures it.
Natural Cure,This Pokemon has its non-volatile status condition cured when it switches out.
Overgrow,"At 1/3 or less of its max HP, this Pokemon's attacking stat is 1.5x with Grass attacks."
Pickup,"If this Pokemon has no item, it finds one used by an adjacent Pokemon this turn."
Sand Veil,"If Sandstorm is active, this Pokemon's evasiveness is 1.25x; immunity to Sandstorm."
Serene Grace,This Pokemon's moves have their secondary effect chance doubled.
Shed Skin,This Pokemon has a 33% chance to have its status cured at the end of each turn.
Speed Boost,This Pokemon's Speed is raised 1 stage at the end of each full turn on the field.
Stench,This Pokemon's attacks without a chance to flinch gain a 10% chance to flinch.
Sticky Hold,This Pokemon cannot lose its held item due to another Pokemon's attack.
Sturdy,"If this Pokemon is at full HP, it survives one hit with at least 1 HP. Immune to OHKO."
Swarm,"At 1/3 or less of its max HP, this Pokemon's attacking stat is 1.5x with Bug attacks."
Synchronize,"If another Pokemon burns/poisons/paralyzes this Pokemon, it also gets that status."
Thick Fat,Fire/Ice-type moves against this Pokemon deal damage with a halved attacking stat.
Torrent,"At 1/3 or less of its max HP, this Pokemon's attacking stat is 1.5x with Water attacks."
Vital Spirit,This Pokemon cannot fall asleep. Gaining this Ability while asleep cures it.
Wonder Guard,This Pokemon can only be damaged by supereffective moves and indirect damage.
Keen Eye,This Pokemon's accuracy can't be lowered by others; ignores their evasiveness stat.
Oblivious,This Pokemon cannot be infatuated or taunted. Immune to Intimidate.
Soundproof,"This Pokemon is immune to sound-based moves, including Heal Bell."
Liquid Ooze,This Pokemon damages those draining HP from it for as much as they would heal.
Inner Focus,This Pokemon cannot be made to flinch. Immune to Intimidate.
Own Tempo,This Pokemon cannot be confused. Immune to Intimidate.
Arena Trap,Prevents adjacent foes from choosing to switch unless they are airborne.
Battle Armor,This Pokemon cannot be struck by a critical hit.
Chlorophyll,"If Sunny Day is active, this Pokemon's Speed is doubled."
Clear Body,Prevents other Pokemon from lowering this Pokemon's stat stages.
Damp,Prevents Explosion/Mind Blown/Misty Explosion/Self-Destruct/Aftermath while active.
Drizzle,"On switch-in, this Pokemon summons Rain Dance."
Drought,"On switch-in, this Pokemon summons Sunny Day."
Early Bird,This Pokemon's sleep counter drops by 2 instead of 1.
Guts,"If this Pokemon is statused, its Attack is 1.5x; ignores burn halving physical damage."
Huge Power,This Pokemon's Attack is doubled.
Hyper Cutter,Prevents other Pokemon from lowering this Pokemon's Attack stat stage.
Illuminate,No competitive use.
Immunity,This Pokemon cannot be poisoned. Gaining this Ability while poisoned cures it.
Levitate,This Pokemon is immune to Ground; Gravity/Ingrain/Smack Down/Iron Ball nullify it.
Limber,This Pokemon cannot be paralyzed. Gaining this Ability while paralyzed cures it.
Magnet Pull,Prevents adjacent Steel-type foes from choosing to switch.
Marvel Scale,"If this Pokemon is statused, its Defense is 1.5x."
Rock Head,This Pokemon does not take recoil damage besides Struggle/Life Orb/crash damage.
Run Away,No competitive use.
Sand Stream,"On switch-in, this Pokemon summons Sandstorm."
Shell Armor,This Pokemon cannot be struck by a critical hit.
Shield Dust,This Pokemon is not affected by the secondary effect of another Pokemon's attack.
Suction Cups,This Pokemon cannot be forced to switch out by another Pokemon's attack or item.
Swift Swim,"If Rain Dance is active, this Pokemon's Speed is doubled."
Water Absorb,This Pokemon heals 1/4 of its max HP when hit by Water moves; Water immunity.
Water Veil,This Pokemon cannot be burned. Gaining this Ability while burned cures it.
White Smoke,Prevents other Pokemon from lowering this Pokemon's stat stages.
Anger Point,"If this Pokemon (not its substitute) takes a critical hit, its Attack is raised 12 stages."
Flower Gift,"If user is Cherrim and Sunny Day is active, it and allies' Attack and Sp. Def are 1.5x."
Forewarn,"On switch-in, this Pokemon is alerted to the foes' move with the highest power."
Hydration,This Pokemon has its status cured at the end of each turn if Rain Dance is active.
Leaf Guard,"If Sunny Day is active, this Pokemon cannot be statused and Rest will fail for it."
Magic Guard,This Pokemon can only be damaged by direct attacks.
Simple,"When this Pokemon's stat stages are raised or lowered, the effect is doubled instead."
Snow Cloak,"If Hail is active, this Pokemon's evasiveness is 1.25x; immunity to Hail."
Storm Drain,This Pokemon draws Water moves to itself to raise Sp. Atk by 1; Water immunity.
Tangled Feet,This Pokemon's evasiveness is doubled as long as it is confused.
Anticipation,"On switch-in, this Pokemon shudders if any foe has a supereffective or OHKO move."
Frisk,"On switch-in, this Pokemon identifies the held items of all opposing Pokemon."
Aftermath,"If this Pokemon is KOed with a contact move, that move's user loses 1/4 its max HP."
Scrappy,"Fighting, Normal moves hit Ghost. Immune to Intimidate."
Technician,This Pokemon's moves of 60 power or less have 1.5x power. Includes Struggle.
Adaptability,This Pokemon's same-type attack bonus (STAB) is 2 instead of 1.5.
Download,"On switch-in, Attack or Sp. Atk is raised 1 stage based on the foes' weaker Defense."
Dry Skin,"This Pokemon is healed 1/4 by Water, 1/8 by Rain; is hurt 1.25x by Fire, 1/8 by Sun."
Filter,This Pokemon receives 3/4 damage from supereffective attacks.
Gluttony,"When this Pokemon has 1/2 or less of its maximum HP, it uses certain Berries early."
Heatproof,The power of Fire-type attacks against this Pokemon is halved; burn damage halved.
Honey Gather,No competitive use.
Ice Body,"If Hail is active, this Pokemon heals 1/16 of its max HP each turn; immunity to Hail."
Iron Fist,This Pokemon's punch-based attacks have 1.2x power. Sucker Punch is not boosted.
Klutz,"This Pokemon's held item has no effect, except Macho Brace. Fling cannot be used."
Mold Breaker,This Pokemon's moves and their effects ignore the Abilities of other Pokemon.
Motor Drive,This Pokemon's Speed is raised 1 stage if hit by an Electric move; Electric immunity.
No Guard,Every move used by or against this Pokemon will always hit.
Quick Feet,"If this Pokemon is statused, its Speed is 1.5x; ignores Speed drop from paralysis."
Reckless,This Pokemon's attacks with recoil or crash damage have 1.2x power; not Struggle.
Rivalry,This Pokemon's attacks do 1.25x on same gender targets; 0.75x on opposite gender.
Skill Link,This Pokemon's multi-hit attacks always hit the maximum number of times.
Slow Start,"On switch-in, this Pokemon's Attack and Speed are halved for 5 turns."
Sniper,"If this Pokemon strikes with a critical hit, the damage is multiplied by 1.5."
Snow Warning,"On switch-in, this Pokemon summons Hail."
Solar Power,"If Sunny Day is active, this Pokemon's Sp. Atk is 1.5x; loses 1/8 max HP per turn."
Solid Rock,This Pokemon receives 3/4 damage from supereffective attacks.
Stall,This Pokemon moves last among Pokemon using the same or greater priority moves.
Steadfast,"If this Pokemon flinches, its Speed is raised by 1 stage."
Super Luck,This Pokemon's critical hit ratio is raised by 1 stage.
Tinted Lens,This Pokemon's attacks that are not very effective on a target deal double damage.
Unaware,This Pokemon ignores other Pokemon's stat stages when taking or doing damage.
Unburden,"Speed is doubled on held item loss; boost is lost if it switches, gets new item/Ability."
Infiltrator,Moves ignore substitutes and foe's Reflect/Light Screen/Safeguard/Mist/Aurora Veil.
Overcoat,This Pokemon is immune to powder moves and damage from Sandstorm or Hail.
Sap Sipper,This Pokemon's Attack is raised 1 stage if hit by a Grass move; Grass immunity.
Iron Barbs,Pokemon making contact with this Pokemon lose 1/8 of their max HP.
Weak Armor,"If a physical attack hits this Pokemon, Defense is lowered by 1, Speed is raised by 2."
Zen Mode,"If Darmanitan, at end of turn changes Mode to Standard if &gt; 1/2 max HP, else Zen."
Moody,Boosts a random stat (except accuracy/evasion) +2 and another stat -1 every turn.
Rattled,"Speed is raised 1 stage if hit by a Bug-, Dark-, or Ghost-type attack, or Intimidated."
Analytic,This Pokemon's attacks have 1.3x power if it is the last to move in a turn.
Big Pecks,Prevents other Pokemon from lowering this Pokemon's Defense stat stage.
Contrary,"If this Pokemon has a stat stage raised it is lowered instead, and vice versa."
Cursed Body,"If this Pokemon is hit by an attack, there is a 30% chance that move gets disabled."
Defeatist,"While this Pokemon has 1/2 or less of its max HP, its Attack and Sp. Atk are halved."
Defiant,This Pokemon's Attack is raised by 2 for each of its stats that is lowered by a foe.
Flare Boost,"While this Pokemon is burned, its special attacks have 1.5x power."
Friend Guard,This Pokemon's allies receive 3/4 damage from other Pokemon's attacks.
Harvest,"If last item used is a Berry, 50% chance to restore it each end of turn. 100% in Sun."
Healer,30% chance of curing an adjacent ally's status at the end of each turn.
Heavy Metal,This Pokemon's weight is doubled.
Illusion,This Pokemon appears as the last Pokemon in the party until it takes direct damage.
Imposter,"On switch-in, this Pokemon Transforms into the opposing Pokemon that is facing it."
Justified,This Pokemon's Attack is raised by 1 stage after it is damaged by a Dark-type move.
Light Metal,This Pokemon's weight is halved.
