name,hp,atk,def,spa,spd,spe,weight,height,formats,generation,format codes,Weaknesses,Strong Weaknesses,Resists,Strong Resists,Immune,STAB,Resistance Index,Entry Hazards,Hazard Removal,Removal Deterrent,Cleric,Pivot,Item Removal,Setup,Priority,HP Drain,HP Recovery,Weather Set,Weather Gimmick,Physical Cutoff 1,Physical Cutoff 2,Physical Cutoff 3,Physical Cutoff 4,Physical Cutoff 5,Physical Cutoff 6,Physical Coverage 1,Physical Coverage 2,Physical Coverage 3,Physical Coverage 4,Special Cutoff 1,Special Cutoff 2,Special Cutoff 3,Special Cutoff 4,Special Cutoff 5,Special Cutoff 6,Special Cutoff 7,Special Coverage 1,Special Coverage 2,Special Coverage 3,Special Coverage 4,Special Coverage 5,Special Coverage 6,Special Coverage 7,Special Coverage 8,Special Coverage 9,Special Coverage 10,Misc Status,Unique Powerful Move,Ability Cutoff 1,Ability Cutoff 2,Ability Cutoff 3,Ability Cutoff 4,Ability Cutoff 5,Ability Cutoff 6,Best Ability,Best Ability <100,Unique Powerful Ability,oldformats,oldformat codes
Bulbasaur,45,49,49,65,65,45,6.9,0.7,ZU,RB,0,4,0,4,1,0,2,2,0,0,0,0,0,2,4,0,2,1,0,5,8,7,4,3,1,1,5,5,3,3.0,5,5,5,5,3,2,2,4,3,3,3,2,1.0,1.0,1.0,1.0,1.0,4,0,1.0,1.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,0,ZU,0
Ivysaur,60,62,63,80,80,60,13.0,1.0,ZU,RB,0,4,0,4,1,0,2,2,0,0,0,0,0,2,4,0,2,1,0,5,8,7,4,3,1,1,5,5,3,3.0,5,5,5,5,3,2,2,4,3,3,3,2,1.0,1.0,1.0,1.0,1.0,4,0,1.0,1.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,0,ZU,0
Venusaur,80,82,83,100,100,80,100.0,2.0,OU,RB,5,4,0,4,1,0,2,2,0,0,0,0,0,2,4,0,2,1,0,5,10,9,6,4,2,2,6,6,4,3.0,6,6,6,6,4,3,2,4,4,4,4,4,2.0,2.0,2.0,2.0,2.0,4,0,1.0,1.0,0.0,0.0,0.0,0.0,63.63636363636363,63.63636363636363,0,UU,4
Charmander,39,52,43,60,50,65,8.5,0.6,ZU,RB,0,3,0,6,0,0,1,3,0,0,0,0,0,0,4,1,0,0,0,3,24,17,10,7,2,1,12,12,9,4.0,7,6,6,6,4,3,3,6,5,5,5,2,1.0,1.0,1.0,1.0,1.0,3,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,ZU,0
Charmeleon,58,64,58,80,65,80,19.0,1.1,ZU,RB,0,3,0,6,0,0,1,3,0,0,0,0,0,0,4,1,0,0,0,3,24,17,10,7,2,1,12,12,9,4.0,7,6,6,6,4,3,3,6,5,5,5,2,1.0,1.0,1.0,1.0,1.0,3,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,ZU,0
Charizard,78,84,78,109,85,100,90.5,1.7,PU,RB,1,2,1,4,2,1,2,8,0,1,0,0,0,0,4,1,0,1,0,3,29,21,14,11,4,2,12,12,10,4.0,12,11,11,11,9,7,5,7,7,7,7,5,4.0,4.0,3.0,2.0,2.0,3,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,PU,1
Squirtle,44,48,65,50,64,43,9.0,0.5,ZU,RB,0,2,0,4,0,0,1,2,0,1,0,0,3,0,5,2,0,0,0,2,18,11,7,5,1,0,10,10,9,3.0,10,9,8,7,6,5,4,7,6,6,5,4,2.0,2.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,75.0,75.0,0,ZU,0
Wartortle,59,63,80,65,80,58,22.5,1.0,ZU,RB,0,2,0,4,0,0,1,2,0,1,0,0,3,0,5,2,0,0,0,2,18,11,7,5,1,0,10,10,9,3.0,10,9,8,7,6,5,4,7,6,6,5,4,2.0,2.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,75.0,75.0,0,ZU,0
Blastoise,79,83,100,85,105,78,85.5,1.6,NU,RB,2,2,0,4,0,0,1,2,0,1,0,0,3,0,5,2,0,0,0,2,25,18,12,10,5,1,10,10,10,3.0,13,12,11,10,8,6,4,9,8,8,7,7,4.0,4.0,3.0,2.0,2.0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,75.0,75.0,0,NU,2
Caterpie,45,30,35,20,20,45,2.9,0.3,ZU,RB,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0.0,0,0,0,0,0,0,0,2,2,2,1,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,ZU,0
Metapod,50,20,55,25,25,30,9.9,0.7,ZU,RB,0,3,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0.0,0,0,0,0,0,0,0,2,2,2,1,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,ZU,0
Butterfree,60,45,50,90,80,70,32.0,1.1,ZU,RB,0,4,1,1,2,1,2,3,0,1,0,0,3,0,5,0,2,1,0,3,6,5,2,1,0,0,4,4,1,1.0,9,9,7,7,7,6,3,9,9,8,8,6,3.0,2.0,1.0,1.0,1.0,4,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,ZU,0
Pikachu,35,55,40,50,50,90,6.0,0.4,PU,RB,1,1,0,3,0,0,1,2,0,0,0,1,3,2,4,2,1,0,0,2,20,10,7,5,2,1,9,8,7,3.0,6,6,5,5,4,2,1,5,4,3,3,3,1.0,1.0,1.0,0.0,0.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,70.0,70.0,0,ZU,0
Raichu,60,90,55,90,80,110,30.0,0.8,PU,RB,1,1,0,3,0,0,1,2,0,0,0,1,3,2,4,2,1,0,0,2,21,10,7,5,2,1,9,8,7,3.0,7,7,6,6,5,3,1,6,5,4,4,4,3.0,3.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,70.0,70.0,0,ZU,0
Sandshrew,50,75,85,20,30,40,12.0,0.6,ZU,RB,0,3,0,2,0,1,1,3,2,1,0,0,0,2,4,0,1,0,0,5,23,16,9,6,2,1,10,10,8,3.0,3,2,2,2,2,1,0,2,2,2,2,1,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,ZU,0
Sandslash,75,100,110,45,55,65,29.5,1.0,PU,RB,1,3,0,2,0,1,1,3,3,1,0,0,0,2,4,0,1,0,0,5,24,17,10,7,3,2,10,10,8,3.0,4,3,3,3,3,2,0,3,3,3,3,3,2.0,2.0,2.0,1.0,1.0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,ZU,0
Nidoran-F,55,47,52,40,40,41,7.0,0.4,ZU,RB,0,2,0,5,0,0,1,3,1,0,0,0,0,0,2,2,0,0,0,2,12,8,3,2,2,0,8,8,5,1.0,7,7,6,5,5,4,3,6,6,6,6,4,2.0,2.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0,ZU,0
Nidorina,70,62,67,55,55,56,20.0,0.8,ZU,RB,0,2,0,5,0,0,1,3,1,0,0,0,0,0,2,2,0,0,0,2,13,9,4,2,2,0,8,8,5,1.0,7,7,6,5,5,4,3,6,6,6,6,4,2.0,2.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0,ZU,0
Nidoqueen,90,92,87,75,85,76,60.0,1.3,UU,RB,4,4,0,4,1,1,2,6,2,0,0,0,0,0,2,2,0,0,0,2,35,27,18,13,6,2,15,15,12,3.0,18,16,15,14,13,10,6,10,10,10,10,10,5.0,5.0,2.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,UU,4
Nidoran-M,46,57,40,40,40,50,9.0,0.5,ZU,RB,0,2,0,5,0,0,1,3,1,0,0,0,0,0,2,2,0,0,0,2,13,9,3,2,2,0,9,8,5,2.0,7,7,6,5,5,4,3,7,7,7,6,4,2.0,2.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0,ZU,0
